Customer__c,Vehicle__c,Service_Date__c,Issue_Description__c,Status__c
Customer_16,Vehicle_14,2025-04-11,None evidence choose region.,Completed
Customer_8,Vehicle_15,2025-04-04,Law close gun hard.,Completed
Customer_1,Vehicle_18,2024-11-25,Person front claim reduce fund how listen.,Requested
Customer_18,Vehicle_1,2025-05-03,Argue system two indeed put art.,Requested
Customer_1,Vehicle_13,2024-11-13,Pattern seven well thought put today suffer.,In Progress
Customer_8,Vehicle_13,2025-01-13,Blood method floor soldier.,Completed
Customer_1,Vehicle_13,2024-09-25,Argue skill population process woman.,In Progress
Customer_2,Vehicle_19,2025-04-20,Brother other technology task entire environment.,Requested
Customer_7,Vehicle_18,2024-10-28,Term various born both cut.,Completed
Customer_1,Vehicle_7,2024-08-22,Pull safe daughter resource.,Completed
Customer_11,Vehicle_6,2024-10-13,Owner practice which owner.,In Progress
Customer_11,Vehicle_1,2024-11-15,My economy society effect threat discussion whom.,In Progress
Customer_2,Vehicle_6,2025-03-24,Do first speak middle ready across.,Requested
Customer_10,Vehicle_9,2025-04-28,Across able black me participant real.,In Progress
Customer_15,Vehicle_1,2024-11-06,Provide range after loss himself.,Requested
Customer_4,Vehicle_12,2025-04-05,Spend strong will stock take speech.,Completed
Customer_15,Vehicle_17,2025-06-15,Newspaper rise brother small unit security.,Requested
Customer_6,Vehicle_14,2025-04-11,Town even none.,Completed
Customer_7,Vehicle_18,2025-07-28,At remember PM.,Completed
Customer_2,Vehicle_3,2025-06-23,Wrong PM decide.,Requested
